"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4, C5","3","1uF","C","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor","",""
"C2, C3","2","47uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"D1, D2, D3, D4, D5","5","LED","LED","LED_SMD:LED_0402_1005Metric","Light emitting diode","",""
"D6","1","MM3Z5V1B","D_Zener_Small","Diode_SMD:D_SOD-323","Zener diode, small symbol","",""
"D7","1","BAT54CW","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","Dual schottky barrier diode, common cathode, SOT-323","",""
"L1, L2, L3, L4, L5, L6","6","100uH","L","USER:L_SHOUHAN _CY43-100UH","Inductor","",""
"Q3","1","WST2007","WST2007","Package_TO_SOT_SMD:SOT-363_SC-70-6","1.4A Id, 20V Vds, Dual N-Channel MOSFET, 140mOhm Ron, SC-70-6","",""
"R1, R2, R3, R4, R5","5","30R","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"R6","1","4.7k","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"R7","1","10k","R","Resistor_SMD:R_0402_1005Metric","Resistor","",""
"U2","1","PY32F002AW15U","PY32F002AW15U","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm","","",""
"U3","1","DRV5013","DRV5013","Package_TO_SOT_SMD:SOT-23","","",""
